Feature1,Feature2,Label
1.337086106962626,102.82862671180608,1
1.8556428757689245,157.27693701374022,1
1.6587945476302646,128.2920382968694,1
1.538792635777333,145.77136220482325,1
1.140416776398193,181.68098265334837,1
1.1403950683025823,122.43630062339875,1
1.0522752509513795,136.93446307320667,1
1.7795585311974416,167.9996024688744,1
1.541003510568888,120.59183489424602,1
1.6372653200164409,106.92819188459137,1
1.0185260448662221,126.07763076223912,1
1.8729188669457948,114.5099158528604,1
1.7491983767203796,183.67278871083158,1
1.1911051996104485,172.73083416079754,1
1.1636424704863906,157.00633808593813,1
1.1650640588680905,178.4314531168946,1
1.273818018663584,172.3304869209203,1
1.4722807884690141,116.79130529974323,1
1.3887505167779042,180.3303099,1
1.2621062261782376,148.54080177240857,1
1.5506676052501414,172.66961396476563,1
1.1255444745868377,180.64821699311437,1
1.2629301836816964,128.62031274746775,1
1.3297256589643225,109.9046732074909,1
1.4104629857953324,120.51416462877475,1
1.7066583652537122,138.43970097636307,1
1.1797064039425238,173.6213289330244,1
1.4628109945722505,177.4657524930709,1
1.533173111975838,100.62569174780717,1
1.041805371447998,145.9672572319809,1
1.5467903667112943,137.5669902833901,1
1.1534717113185624,119.98970294236572,1
1.0585464336867516,110.78788306003145,1
1.853996984,130.38536542632653,1
1.8690688297671034,184.86187335212674,1
1.727557613304815,129.08826388186796,1
1.2741523922560336,146.69115595690295,1
1.0879049026057455,163.2717063,1
1.615809723860941,132.72666421413646,1
1.396137244365641,187.46038744488646,1
1.109834411360301,186.6202565,1
1.4456592191001432,122.66040662428277,1
1.0309496690036966,144.7523655303147,1
1.8183883618709038,127.07904788350928,1
1.2329019834400152,125.63564449397208,1
1.5962700559185836,103.31982526190795,1
1.280539968,154.86079005819073,1
1.4680612190600297,145.24111209059754,1
1.4920392514089516,104.63308761249904,1
1.1663690099729744,125.07818178129503,1
1.8726261649881026,181.74392973699884,1
1.697619541025003,121.56057016002751,1
1.8455490474077703,113.04053848821007,1
1.8053446153848838,144.05074842498067,1
1.5381099809299765,188.70854086995405,1
1.829686811520805,121.78497443603504,1
1.0796432518467276,160.49219926652907,1
1.1763845761772307,168.54576537958457,1
1.0407045600194842,121.38737895931597,1
1.292797297686938,165.53947137506736,1
1.3498095607205338,133.1004819447328,1
1.2442141285965063,156.90752475342214,1
1.7458637582367365,157.01767396848052,1
1.3210779940242303,148.21972156672825,1
1.2528410587186427,108.12607930489675,1
1.4884264748424236,175.17722460303142,1
1.1268318024772863,128.87020584745622,1
1.7219772826786355,116.78666593598689,1
1.0670955793117938,103.66976273992876,1
1.8881982429404656,153.18036488694176,1
1.6950202923669915,160.98079256580542,1
1.1788441133807552,101.49290460350706,1
1.0049699054112422,146.0883752469353,1
1.7339152856093507,120.38461976781441,1
1.6361716094628553,158.0655511368505,1
1.6561064512368886,115.69297861044923,1
1.694143312017351,162.18439642922192,1
1.0666401865606814,134.80618116704835,1
1.3226191556898454,184.3056989863061,1
1.1042821535726168,112.3768849731394,1
1.776793083288034,130.69597159452326,1
1.560968314144802,110.21261691165301,1
1.2978082223673844,183.22242564507064,1
1.0572025152574214,178.9605418042883,1
1.279884089544096,123.21474649436401,1
1.2926649898240723,159.3985641430761,1
1.6566455605042576,173.54999801810942,1
1.5738017242196918,149.96807304395162,1
1.7984914683186939,147.66855205204058,1
1.4249934326457543,121.76670618104065,1
1.1076348213444716,108.37924910253093,1
1.6419203085006955,180.7494182157994,1
1.6847065437552078,181.03762514469975,1
1.5051494778125467,156.9791311545941,1
1.6938704619591047,130.51268119438305,1
1.4444160367279517,131.42886171513948,1
1.4704595464437946,165.33601109832153,1
1.3847869165226947,180.73992339573192,1
1.0228772140696856,179.83777818386056,1
1.097102284293974,170.18879912718614,1
2.749080238,206.2858371,2
3.901428613,327.2820823,2
3.463987884,262.8711962,2
3.197316968,301.7141382,2
2.312037281,381.5132948,2
2.311989041,249.8584458,2
2.116167224,282.0765846,2
3.732352292,351.1102277,2
3.202230023,245.7596331,2
3.416145156,215.395982,2
2.041168989,257.9502906,2
3.939819704,232.2442575,2
3.664885282,385.9395305,2
2.424678221,361.6240759,2
2.363649934,326.6807513,2
